"entrezgene_id","wikipathID","description"
"2778","WP734","Serotonin receptor 4/6/7 and NR3C signaling"
"2778","WP712","Estrogen signaling pathway"
"2778","WP4941","GPR143 in melanocytes and retinal pigment epithelium cells"
"2778","WP5122","Prostaglandin and leukotriene metabolism in senescence "
"2778","WP2197","Endothelin pathways"
"2778","WP4900","Purinergic signaling"
"2778","WP2636","Common pathways underlying drug addiction"
"2778","WP5085","Vasopressin-regulated water reabsorption"
"2778","WP2032","Thyroid stimulating hormone (TSH) signaling pathway"
"2778","WP2355","Corticotropin-releasing hormone signaling pathway"
"2778","WP35","G protein signaling pathways"
"2778","WP4540","Hippo signaling regulation pathways"
"2778","WP4321","Thermogenesis"
"2778","WP536","Calcium regulation in cardiac cells"
"2778","WP289","Myometrial relaxation and contraction pathways"
"3456","WP12","Osteoclast signaling"
"3456","WP4705","Pathways of nucleic acid metabolism and innate immune sensing"
"3456","WP4478","LTF danger signal response pathway"
"3456","WP4961","STING pathway in Kawasaki-like disease and COVID-19"
"3456","WP262","Ebstein-Barr virus LMP1 signaling"
"3456","WP5044","Kynurenine pathway and links to cell senescence"
"3456","WP530","Cytokines and inflammatory response"
"3456","WP3851","TLR4 signaling and tolerance"
"3456","WP4912","SARS coronavirus and innate immunity"
"3456","WP4496","Signal transduction through IL1R"
"3456","WP4558","Overview of interferons-mediated signaling pathway"
"3456","WP619","Type II interferon signaling"
"3456","WP4136","Fibrin complement receptor 3 signaling pathway"
"3456","WP3865","Novel intracellular components of RIG-I-like receptor pathway"
"3456","WP5039","SARS-CoV-2 innate immunity evasion and cell-specific immune response"
"3456","WP4655","Cytosolic DNA-sensing pathway"
"3456","WP5098","T-cell activation SARS-CoV-2"
"3456","WP75","Toll-like receptor signaling pathway"
"3456","WP5055","Burn wound healing"
"3456","WP5095","Overview of proinflammatory and profibrotic mediators"
"3456","WP4630","Measles virus infection"
"3456","WP4666","Hepatitis B infection"
"3456","WP5115","Network map of SARS-CoV-2 signaling pathway"
"3456","WP3932","Focal adhesion: PI3K-Akt-mTOR-signaling pathway"
"3456","WP4172","PI3K-Akt signaling pathway"
"3458","WP4484","Control of immune tolerance by vasoactive intestinal peptide"
"3458","WP5174","Ulcerative colitis signaling"
"3458","WP516","Hypertrophy model"
"3458","WP4585","Cancer immunotherapy by PD-1 blockade"
"3458","WP5044","Kynurenine pathway and links to cell senescence"
"3458","WP2865","IL1 and megakaryocytes in obesity"
"3458","WP530","Cytokines and inflammatory response"
"3458","WP5092","Interactions of natural killer cells in pancreatic cancer"
"3458","WP4494","Selective expression of chemokine receptors during T-cell polarization"
"3458","WP453","Inflammatory response pathway"
"3458","WP3893","Development and heterogeneity of the ILC family"
"3458","WP5088","Prostaglandin signaling"
"3458","WP4558","Overview of interferons-mediated signaling pathway"
"3458","WP619","Type II interferon signaling"
"3458","WP5285","Immune infiltration in pancreatic cancer"
"3458","WP5198","Inflammatory bowel disease signaling"
"3458","WP2873","Aryl hydrocarbon receptor pathway"
"3458","WP4008","NO/cGMP/PKG mediated neuroprotection"
"3458","WP1533","Vitamin B12 metabolism"
"3458","WP3611","Photodynamic therapy-induced AP-1 survival signaling"
"3458","WP560","TGF-beta receptor signaling"
"3458","WP4816","TGF-beta receptor signaling in skeletal dysplasias"
"3458","WP3865","Novel intracellular components of RIG-I-like receptor pathway"
"3458","WP183","Proteasome degradation"
"3458","WP3863","T-cell antigen receptor (TCR) pathway during Staphylococcus aureus infection"
"3458","WP176","Folate metabolism"
"3458","WP5130","Th17 cell differentiation pathway"
"3458","WP4341","Non-genomic actions of 1,25 dihydroxyvitamin D3"
"3458","WP5218","Extrafollicular and follicular B cell activation by SARS-CoV-2"
"3458","WP15","Selenium micronutrient network"
"3459","WP4197","Immune response to tuberculosis"
"3459","WP4494","Selective expression of chemokine receptors during T-cell polarization"
"3459","WP4558","Overview of interferons-mediated signaling pathway"
"3459","WP619","Type II interferon signaling"
"3459","WP5198","Inflammatory bowel disease signaling"
"3459","WP5130","Th17 cell differentiation pathway"
"3459","WP4341","Non-genomic actions of 1,25 dihydroxyvitamin D3"
"3459","WP4538","Regulatory circuits of the STAT3 signaling pathway"
"3459","WP5083","Neuroinflammation and glutamatergic signaling"
"3460","WP4197","Immune response to tuberculosis"
"3460","WP4494","Selective expression of chemokine receptors during T-cell polarization"
"3460","WP4558","Overview of interferons-mediated signaling pathway"
"3460","WP619","Type II interferon signaling"
"3460","WP4341","Non-genomic actions of 1,25 dihydroxyvitamin D3"
"3460","WP4538","Regulatory circuits of the STAT3 signaling pathway"
"3460","WP5083","Neuroinflammation and glutamatergic signaling"
"3551","WP4788","Autosomal recessive osteopetrosis pathways"
"3551","WP3849","MAPK and NFkB signaling pathways inhibited by Yersinia YopJ"
"3551","WP1434","Osteopontin signaling"
"3551","WP2435","Quercetin and Nf-kB / AP-1 induced apoptosis"
"3551","WP4961","STING pathway in Kawasaki-like disease and COVID-19"
"3551","WP1584","Type II diabetes mellitus"
"3551","WP4482","Vitamin D in inflammatory diseases"
"3551","WP262","Ebstein-Barr virus LMP1 signaling"
"3551","WP712","Estrogen signaling pathway"
"3551","WP3851","TLR4 signaling and tolerance"
"3551","WP3858","Toll-like receptor signaling related to MyD88"
"3551","WP2112","IL-17 signaling pathway"
"3551","WP5113","Antiviral and anti-inflammatory effects of Nrf2 on SARS-CoV-2 pathway"
"3551","WP4481","Resistin as a regulator of inflammation"
"3551","WP4496","Signal transduction through IL1R"
"3551","WP4880","Host-pathogen interaction of human coronaviruses - interferon induction"
"3551","WP3617","Photodynamic therapy-induced NF-kB survival signaling"
"3551","WP1433","Nucleotide-binding oligomerization domain (NOD) pathway"
"3551","WP2036","TNF-related weak inducer of apoptosis (TWEAK) signaling pathway"
"3551","WP4136","Fibrin complement receptor 3 signaling pathway"
"3551","WP2332","Interleukin-11 signaling pathway"
"3551","WP2637","Interleukin-1 (IL-1) structural pathway"
"3551","WP395","IL-4 signaling pathway"
"3551","WP195","IL-1 signaling pathway"
"3551","WP2018","RANKL/RANK signaling pathway"
"3551","WP2795","Cardiac hypertrophic response"
"3551","WP3865","Novel intracellular components of RIG-I-like receptor pathway"
"3551","WP5072","Modulators of TCR signaling and T cell activation"
"3551","WP3863","T-cell antigen receptor (TCR) pathway during Staphylococcus aureus infection"
"3551","WP4329","miRNA role in immune response in sepsis"
"8517","WP3849","MAPK and NFkB signaling pathways inhibited by Yersinia YopJ"
"8517","WP4961","STING pathway in Kawasaki-like disease and COVID-19"
"8517","WP4482","Vitamin D in inflammatory diseases"
"8517","WP262","Ebstein-Barr virus LMP1 signaling"
"8517","WP712","Estrogen signaling pathway"
"8517","WP3851","TLR4 signaling and tolerance"
"8517","WP3858","Toll-like receptor signaling related to MyD88"
"8517","WP2112","IL-17 signaling pathway"
"8517","WP5113","Antiviral and anti-inflammatory effects of Nrf2 on SARS-CoV-2 pathway"
"8517","WP4481","Resistin as a regulator of inflammation"
"8517","WP4880","Host-pathogen interaction of human coronaviruses - interferon induction"
"8517","WP2516","ATM signaling pathway"
"8517","WP1433","Nucleotide-binding oligomerization domain (NOD) pathway"
"8517","WP4136","Fibrin complement receptor 3 signaling pathway"
"8517","WP3878","ATM signaling in development and disease "
"8517","WP3981","miRNA regulation of prostate cancer signaling pathways"
"8517","WP195","IL-1 signaling pathway"
"8517","WP2018","RANKL/RANK signaling pathway"
"8517","WP2795","Cardiac hypertrophic response"
"8517","WP3865","Novel intracellular components of RIG-I-like receptor pathway"
"8517","WP5072","Modulators of TCR signaling and T cell activation"
"8517","WP3863","T-cell antigen receptor (TCR) pathway during Staphylococcus aureus infection"
"8517","WP4329","miRNA role in immune response in sepsis"
"8517","WP3303","RAC1/PAK1/p38/MMP2 pathway"
"8517","WP4655","Cytosolic DNA-sensing pathway"
"8517","WP2034","Leptin signaling pathway"
"8517","WP4016","DNA IR-damage and cellular response via ATR"
"8517","WP254","Apoptosis"
"8517","WP5098","T-cell activation SARS-CoV-2"
"8517","WP4263","Pancreatic adenocarcinoma pathway"
"3586","WP4495","IL-10 anti-inflammatory signaling pathway "
"3586","WP4484","Control of immune tolerance by vasoactive intestinal peptide"
"3586","WP4891","COVID-19 adverse outcome pathway"
"3586","WP5174","Ulcerative colitis signaling"
"3586","WP4141","PI3K/AKT/mTOR - vitamin D3 signaling"
"3586","WP5272","LDL- influence on CD14 and TLR4"
"3586","WP530","Cytokines and inflammatory response"
"3586","WP5285","Immune infiltration in pancreatic cancer"
"3586","WP5198","Inflammatory bowel disease signaling"
"3586","WP5078","T cell modulation in pancreatic cancer"
"3586","WP4747","Netrin-UNC5B signaling pathway"
"3586","WP3863","T-cell antigen receptor (TCR) pathway during Staphylococcus aureus infection"
"3586","WP4329","miRNA role in immune response in sepsis"
"3586","WP5039","SARS-CoV-2 innate immunity evasion and cell-specific immune response"
"3586","WP5218","Extrafollicular and follicular B cell activation by SARS-CoV-2"
"3586","WP4298","Acute viral myocarditis"
"3586","WP2328","Allograft rejection"
"3586","WP5095","Overview of proinflammatory and profibrotic mediators"
"3586","WP5083","Neuroinflammation and glutamatergic signaling"
"3586","WP706","Sudden infant death syndrome (SIDS) susceptibility pathways"
"3586","WP5115","Network map of SARS-CoV-2 signaling pathway"
"3586","WP4754","IL-18 signaling pathway"
"3586","WP5087","Malignant pleural mesothelioma"
"3592","WP4484","Control of immune tolerance by vasoactive intestinal peptide"
"3592","WP4141","PI3K/AKT/mTOR - vitamin D3 signaling"
"3592","WP4494","Selective expression of chemokine receptors during T-cell polarization"
"3592","WP3893","Development and heterogeneity of the ILC family"
"3592","WP5113","Antiviral and anti-inflammatory effects of Nrf2 on SARS-CoV-2 pathway"
"3592","WP4481","Resistin as a regulator of inflammation"
"3592","WP5088","Prostaglandin signaling"
"3592","WP5285","Immune infiltration in pancreatic cancer"
"3592","WP5198","Inflammatory bowel disease signaling"
"3592","WP2873","Aryl hydrocarbon receptor pathway"
"3592","WP5218","Extrafollicular and follicular B cell activation by SARS-CoV-2"
"3592","WP4298","Acute viral myocarditis"
"3592","WP5098","T-cell activation SARS-CoV-2"
"3592","WP2328","Allograft rejection"
"3592","WP75","Toll-like receptor signaling pathway"
"3592","WP5095","Overview of proinflammatory and profibrotic mediators"
"3592","WP4630","Measles virus infection"
"3592","WP5083","Neuroinflammation and glutamatergic signaling"
"3592","WP2877","Vitamin D receptor pathway"
"3592","WP5115","Network map of SARS-CoV-2 signaling pathway"
"3592","WP2882","Nuclear receptors meta-pathway"
"3593","WP530","Cytokines and inflammatory response"
"3593","WP4494","Selective expression of chemokine receptors during T-cell polarization"
"3593","WP3893","Development and heterogeneity of the ILC family"
"3593","WP4481","Resistin as a regulator of inflammation"
"3593","WP5285","Immune infiltration in pancreatic cancer"
"3593","WP4136","Fibrin complement receptor 3 signaling pathway"
"3593","WP2873","Aryl hydrocarbon receptor pathway"
"3593","WP3624","Lung fibrosis"
"3593","WP4298","Acute viral myocarditis"
"3593","WP5098","T-cell activation SARS-CoV-2"
"3593","WP2328","Allograft rejection"
"3593","WP75","Toll-like receptor signaling pathway"
"3593","WP5095","Overview of proinflammatory and profibrotic mediators"
"3593","WP4630","Measles virus infection"
"3593","WP5083","Neuroinflammation and glutamatergic signaling"
"3593","WP4754","IL-18 signaling pathway"
"3593","WP2882","Nuclear receptors meta-pathway"
"3553","WP1455","Serotonin transporter activity"
"3553","WP4891","COVID-19 adverse outcome pathway"
"3553","WP4462","Platelet-mediated interactions with vascular and circulating cells"
"3553","WP4478","LTF danger signal response pathway"
"3553","WP4961","STING pathway in Kawasaki-like disease and COVID-19"
"3553","WP5046","NAD metabolism in oncogene-induced senescence and mitochondrial dysfunction-associated senescence"
"3553","WP4925","Unfolded protein response"
"3553","WP5272","LDL- influence on CD14 and TLR4"
"3553","WP2865","IL1 and megakaryocytes in obesity"
"3553","WP530","Cytokines and inflammatory response"
"3553","WP4969","RAS and bradykinin pathways in COVID-19"
"3553","WP4304","Oligodendrocyte specification and differentiation, leading to myelin components for CNS"
"3553","WP3893","Development and heterogeneity of the ILC family"
"3553","WP5113","Antiviral and anti-inflammatory effects of Nrf2 on SARS-CoV-2 pathway"
"3553","WP727","Monoamine transport"
"3553","WP4496","Signal transduction through IL1R"
"3553","WP5088","Prostaglandin signaling"
"3553","WP3617","Photodynamic therapy-induced NF-kB survival signaling"
"3553","WP619","Type II interferon signaling"
"3553","WP5285","Immune infiltration in pancreatic cancer"
"3553","WP1433","Nucleotide-binding oligomerization domain (NOD) pathway"
"3553","WP2873","Aryl hydrocarbon receptor pathway"
"3553","WP4008","NO/cGMP/PKG mediated neuroprotection"
"3553","WP1533","Vitamin B12 metabolism"
"3553","WP195","IL-1 signaling pathway"
"3553","WP5222","2q13 copy number variation syndrome"
"3553","WP2849","Hematopoietic stem cell differentiation"
"3553","WP3624","Lung fibrosis"
"3553","WP176","Folate metabolism"
"3553","WP5130","Th17 cell differentiation pathway"
"3558","WP4484","Control of immune tolerance by vasoactive intestinal peptide"
"3558","WP4891","COVID-19 adverse outcome pathway"
"3558","WP5063","FOXP3 in COVID-19"
"3558","WP530","Cytokines and inflammatory response"
"3558","WP2583","T cell receptor and co-stimulatory signaling"
"3558","WP4494","Selective expression of chemokine receptors during T-cell polarization"
"3558","WP453","Inflammatory response pathway"
"3558","WP3617","Photodynamic therapy-induced NF-kB survival signaling"
"3558","WP5285","Immune infiltration in pancreatic cancer"
"3558","WP127","IL-5 signaling pathway"
"3558","WP49","IL-2 signaling pathway"
"3558","WP5198","Inflammatory bowel disease signaling"
"3558","WP2873","Aryl hydrocarbon receptor pathway"
"3558","WP3611","Photodynamic therapy-induced AP-1 survival signaling"
"3558","WP3863","T-cell antigen receptor (TCR) pathway during Staphylococcus aureus infection"
"3558","WP5222","2q13 copy number variation syndrome"
"3558","WP176","Folate metabolism"
"3558","WP5130","Th17 cell differentiation pathway"
"3558","WP5218","Extrafollicular and follicular B cell activation by SARS-CoV-2"
"3558","WP4298","Acute viral myocarditis"
"3558","WP5098","T-cell activation SARS-CoV-2"
"3558","WP2328","Allograft rejection"
"3558","WP2355","Corticotropin-releasing hormone signaling pathway"
"3558","WP4659","Gastrin signaling pathway"
"3558","WP2431","Spinal cord injury"
"3558","WP5095","Overview of proinflammatory and profibrotic mediators"
"3558","WP4630","Measles virus infection"
"3558","WP3932","Focal adhesion: PI3K-Akt-mTOR-signaling pathway"
"3558","WP2882","Nuclear receptors meta-pathway"
"3558","WP4172","PI3K-Akt signaling pathway"
"3569","WP4495","IL-10 anti-inflammatory signaling pathway "
"3569","WP4891","COVID-19 adverse outcome pathway"
"3569","WP5063","FOXP3 in COVID-19"
"3569","WP4337","ncRNAs involved in STAT3 signaling in hepatocellular carcinoma"
"3569","WP4493","Cells and molecules involved in local acute inflammatory response "
"3569","WP3287","Overview of nanoparticle effects"
"3569","WP4478","LTF danger signal response pathway"
"3569","WP4300","Extracellular vesicles in the crosstalk of cardiac cells"
"3569","WP4884","Pathogenesis of SARS-CoV-2 mediated by nsp9-nsp10 complex"
"3569","WP4970","Galanin receptor pathway"
"3569","WP3599","Transcription factor regulation in adipogenesis"
"3569","WP4482","Vitamin D in inflammatory diseases"
"3569","WP5046","NAD metabolism in oncogene-induced senescence and mitochondrial dysfunction-associated senescence"
"3569","WP5272","LDL- influence on CD14 and TLR4"
"3569","WP530","Cytokines and inflammatory response"
"3569","WP5183","SARS-CoV-2 mitochondrial chronic oxidative stress and endothelial dysfunction"
"3569","WP3851","TLR4 signaling and tolerance"
"3569","WP3893","Development and heterogeneity of the ILC family"
"3569","WP5113","Antiviral and anti-inflammatory effects of Nrf2 on SARS-CoV-2 pathway"
"3569","WP4481","Resistin as a regulator of inflammation"
"3569","WP4496","Signal transduction through IL1R"
"3569","WP5088","Prostaglandin signaling"
"3569","WP3617","Photodynamic therapy-induced NF-kB survival signaling"
"3569","WP3591","Sleep regulation"
"3569","WP5285","Immune infiltration in pancreatic cancer"
"3569","WP2036","TNF-related weak inducer of apoptosis (TWEAK) signaling pathway"
"3569","WP5221","2q11.2 copy number variation syndrome"
"3569","WP364","IL6 signaling pathway"
"3569","WP4136","Fibrin complement receptor 3 signaling pathway"
"3569","WP5198","Inflammatory bowel disease signaling"
"3654","WP3656","Interleukin-1 induced activation of NF-kB"
"3654","WP3877","MYD88 distinct input-output pathway"
"3654","WP4478","LTF danger signal response pathway"
"3654","WP262","Ebstein-Barr virus LMP1 signaling"
"3654","WP2865","IL1 and megakaryocytes in obesity"
"3654","WP3851","TLR4 signaling and tolerance"
"3654","WP3858","Toll-like receptor signaling related to MyD88"
"3654","WP4496","Signal transduction through IL1R"
"3654","WP3298","Melatonin metabolism and effects"
"3654","WP4136","Fibrin complement receptor 3 signaling pathway"
"3654","WP2637","Interleukin-1 (IL-1) structural pathway"
"3654","WP195","IL-1 signaling pathway"
"3654","WP4329","miRNA role in immune response in sepsis"
"3654","WP1772","Apoptosis modulation and signaling"
"3654","WP75","Toll-like receptor signaling pathway"
"3654","WP4630","Measles virus infection"
"3654","WP4666","Hepatitis B infection"
"3654","WP5115","Network map of SARS-CoV-2 signaling pathway"
"3654","WP4754","IL-18 signaling pathway"
"51135","WP4478","LTF danger signal response pathway"
"51135","WP3851","TLR4 signaling and tolerance"
"51135","WP3858","Toll-like receptor signaling related to MyD88"
"51135","WP4868","Type I interferon induction and signaling during SARS-CoV-2 infection"
"51135","WP4136","Fibrin complement receptor 3 signaling pathway"
"51135","WP4559","Interactions between immune cells and microRNAs in tumor microenvironment"
"51135","WP2637","Interleukin-1 (IL-1) structural pathway"
"51135","WP195","IL-1 signaling pathway"
"51135","WP4329","miRNA role in immune response in sepsis"
"51135","WP2324","AGE/RAGE pathway"
"51135","WP75","Toll-like receptor signaling pathway"
"51135","WP4630","Measles virus infection"
"51135","WP4666","Hepatitis B infection"
"3725","WP2881","Estrogen receptor pathway"
"3725","WP3301","MFAP5-mediated ovarian cancer cell motility and invasiveness"
"3725","WP4919","Neuroinflammation"
"3725","WP2435","Quercetin and Nf-kB / AP-1 induced apoptosis"
"3725","WP4928","MAPK pathway in congenital thyroid cancer"
"3725","WP3877","MYD88 distinct input-output pathway"
"3725","WP4560","MFAP5 effect on permeability and motility of endothelial cells via cytoskeleton rearrangement"
"3725","WP3927","BMP signaling in eyelid development"
"3725","WP3612","Photodynamic therapy-induced NFE2L2 (NRF2) survival signaling"
"3725","WP4585","Cancer immunotherapy by PD-1 blockade"
"3725","WP712","Estrogen signaling pathway"
"3725","WP1528","Physiological and pathological hypertrophy of the heart"
"3725","WP3972","PDGFR-beta pathway"
"3725","WP422","MAPK cascade"
"3725","WP4496","Signal transduction through IL1R"
"3725","WP4880","Host-pathogen interaction of human coronaviruses - interferon induction"
"3725","WP313","Hepatocyte growth factor receptor signaling"
"3725","WP4877","Host-pathogen interaction of human coronaviruses - MAPK signaling"
"3725","WP127","IL-5 signaling pathway"
"3725","WP2516","ATM signaling pathway"
"3725","WP2526","PDGF pathway"
"3725","WP4564","Neural crest cell migration during development"
"3725","WP2036","TNF-related weak inducer of apoptosis (TWEAK) signaling pathway"
"3725","WP49","IL-2 signaling pathway"
"3725","WP4565","Neural crest cell migration in cancer"
"3725","WP5198","Inflammatory bowel disease signaling"
"3725","WP314","Fas ligand pathway and stress induction of heat shock proteins"
"3725","WP2873","Aryl hydrocarbon receptor pathway"
"3725","WP5300","TROP2 regulatory signaling"
"3725","WP286","IL-3 signaling pathway"
"3827","WP4493","Cells and molecules involved in local acute inflammatory response "
"3827","WP554","ACE inhibitor pathway"
"3827","WP4969","RAS and bradykinin pathways in COVID-19"
"3827","WP558","Complement and coagulation cascades"
"3827","WP2877","Vitamin D receptor pathway"
"55244","WP4917","Proximal tubule transport"
"6416","WP3972","PDGFR-beta pathway"
"6416","WP422","MAPK cascade"
"6416","WP400","p38 MAPK signaling pathway"
"6416","WP4877","Host-pathogen interaction of human coronaviruses - MAPK signaling"
"6416","WP2526","PDGF pathway"
"6416","WP3941","Oxidative damage response"
"6416","WP364","IL6 signaling pathway"
"6416","WP314","Fas ligand pathway and stress induction of heat shock proteins"
"6416","WP4566","Translation inhibitors in chronically activated PDGFRA cells"
"6416","WP2637","Interleukin-1 (IL-1) structural pathway"
"6416","WP3611","Photodynamic therapy-induced AP-1 survival signaling"
"6416","WP195","IL-1 signaling pathway"
"6416","WP2795","Cardiac hypertrophic response"
"6416","WP3680","Physico-chemical features and toxicity-associated pathways"
"6416","WP2261","Glioblastoma signaling pathways"
"6416","WP254","Apoptosis"
"6416","WP231","TNF-alpha signaling pathway"
"6416","WP673","ErbB signaling pathway"
"6416","WP399","Wnt signaling pathway and pluripotency"
"6416","WP75","Toll-like receptor signaling pathway"
"6416","WP1544","MicroRNAs in cardiomyocyte hypertrophy"
"6416","WP3915","Angiopoietin-like protein 8 regulatory pathway"
"6416","WP366","TGF-beta signaling pathway"
"6416","WP4666","Hepatitis B infection"
"6416","WP481","Insulin signaling"
"6416","WP4239","Epithelial to mesenchymal transition in colorectal cancer"
"6416","WP382","MAPK signaling pathway"
"6416","WP3888","VEGFA-VEGFR2 signaling"
"6416","WP5087","Malignant pleural mesothelioma"
"146802","WP4917","Proximal tubule transport"
"5594","WP3849","MAPK and NFkB signaling pathways inhibited by Yersinia YopJ"
"5594","WP4389","Bile acids synthesis and enterohepatic circulation "
"5594","WP1434","Osteopontin signaling"
"5594","WP3301","MFAP5-mediated ovarian cancer cell motility and invasiveness"
"5594","WP3853","ERK pathway in Huntington's disease"
"5594","WP22","IL-9 signaling pathway"
"5594","WP3859","TGF-beta signaling in thyroid cells for epithelial-mesenchymal transition"
"5594","WP4872","MAP3K1 role in promoting and blocking gonadal determination"
"5594","WP3879","4-hydroxytamoxifen, dexamethasone, and retinoic acids regulation of p27 expression"
"5594","WP4301","Inhibition of exosome biogenesis and secretion by Manumycin A in CRPC cells"
"5594","WP4560","MFAP5 effect on permeability and motility of endothelial cells via cytoskeleton rearrangement"
"5594","WP4478","LTF danger signal response pathway"
"5594","WP734","Serotonin receptor 4/6/7 and NR3C signaling"
"5594","WP732","Serotonin receptor 2 and ELK-SRF/GATA4 signaling"
"5594","WP1584","Type II diabetes mellitus"
"5594","WP262","Ebstein-Barr virus LMP1 signaling"
"5594","WP712","Estrogen signaling pathway"
"5594","WP1528","Physiological and pathological hypertrophy of the heart"
"5594","WP1539","Angiogenesis"
"5594","WP5074","Kallmann syndrome"
"5594","WP1981","Thyroxine (thyroid hormone) production"
"5594","WP205","IL-7 signaling pathway"
"5594","WP3668","Hypothesized pathways in pathogenesis of cardiovascular disease"
"5594","WP4483","Relationship between inflammation, COX-2 and EGFR"
"5594","WP26","S1P receptor signal transduction"
"5594","WP581","EPO receptor signaling"
"5594","WP2035","Follicle stimulating hormone (FSH) signaling pathway"
"5594","WP4767","FGFR3 signaling in chondrocyte proliferation and terminal differentiation"
"5594","WP5231","Hippocampal synaptogenesis and neurogenesis"
"5594","WP2643","Nanoparticle-mediated activation of receptor signaling"
"5602","WP384","Apoptosis modulation by HSP70"
"5602","WP2643","Nanoparticle-mediated activation of receptor signaling"
"5602","WP3869","Cannabinoid receptor signaling"
"5602","WP408","Oxidative stress response"
"5602","WP422","MAPK cascade"
"5602","WP4877","Host-pathogen interaction of human coronaviruses - MAPK signaling"
"5602","WP4150","Wnt signaling in kidney disease"
"5602","WP524","G13 signaling pathway"
"5602","WP3941","Oxidative damage response"
"5602","WP4566","Translation inhibitors in chronically activated PDGFRA cells"
"5602","WP4534","Mechanoregulation and pathology of YAP/TAZ via Hippo and non-Hippo mechanisms"
"5602","WP2637","Interleukin-1 (IL-1) structural pathway"
"5602","WP3865","Novel intracellular components of RIG-I-like receptor pathway"
"5602","WP4216","Chromosomal and microsatellite instability in colorectal cancer "
"5602","WP4538","Regulatory circuits of the STAT3 signaling pathway"
"5602","WP254","Apoptosis"
"5602","WP4263","Pancreatic adenocarcinoma pathway"
"5602","WP673","ErbB signaling pathway"
"5602","WP185","Integrin-mediated cell adhesion"
"5602","WP399","Wnt signaling pathway and pluripotency"
"5602","WP75","Toll-like receptor signaling pathway"
"5602","WP710","DNA damage response (only ATM dependent)"
"5602","WP4787","Osteoblast differentiation and related diseases"
"5602","WP3915","Angiopoietin-like protein 8 regulatory pathway"
"5602","WP4630","Measles virus infection"
"5602","WP2380","Brain-derived neurotrophic factor (BDNF) signaling pathway"
"5602","WP4666","Hepatitis B infection"
"5602","WP481","Insulin signaling"
"5602","WP4223","Ras signaling"
"5602","WP306","Focal adhesion"
"5600","WP4872","MAP3K1 role in promoting and blocking gonadal determination"
"5600","WP4864","Host-pathogen interaction of human coronaviruses - apoptosis"
"5600","WP3612","Photodynamic therapy-induced NFE2L2 (NRF2) survival signaling"
"5600","WP1528","Physiological and pathological hypertrophy of the heart"
"5600","WP5272","LDL- influence on CD14 and TLR4"
"5600","WP4842","Mammalian disorder of sexual development"
"5600","WP4767","FGFR3 signaling in chondrocyte proliferation and terminal differentiation"
"5600","WP2643","Nanoparticle-mediated activation of receptor signaling"
"5600","WP5200","Dravet syndrome"
"5600","WP3869","Cannabinoid receptor signaling"
"5600","WP5122","Prostaglandin and leukotriene metabolism in senescence "
"5600","WP4877","Host-pathogen interaction of human coronaviruses - MAPK signaling"
"5600","WP2637","Interleukin-1 (IL-1) structural pathway"
"5600","WP3611","Photodynamic therapy-induced AP-1 survival signaling"
"5600","WP395","IL-4 signaling pathway"
"5600","WP3865","Novel intracellular components of RIG-I-like receptor pathway"
"5600","WP3303","RAC1/PAK1/p38/MMP2 pathway"
"5600","WP2371","Parkinson's disease pathway"
"5600","WP4341","Non-genomic actions of 1,25 dihydroxyvitamin D3"
"5600","WP4538","Regulatory circuits of the STAT3 signaling pathway"
"5600","WP75","Toll-like receptor signaling pathway"
"5600","WP4321","Thermogenesis"
"5600","WP4787","Osteoblast differentiation and related diseases"
"5600","WP3915","Angiopoietin-like protein 8 regulatory pathway"
"5600","WP4666","Hepatitis B infection"
"5600","WP481","Insulin signaling"
"5600","WP4239","Epithelial to mesenchymal transition in colorectal cancer"
"5600","WP382","MAPK signaling pathway"
"6300","WP4864","Host-pathogen interaction of human coronaviruses - apoptosis"
"6300","WP3612","Photodynamic therapy-induced NFE2L2 (NRF2) survival signaling"
"6300","WP5272","LDL- influence on CD14 and TLR4"
"6300","WP26","S1P receptor signal transduction"
"6300","WP4767","FGFR3 signaling in chondrocyte proliferation and terminal differentiation"
"6300","WP2643","Nanoparticle-mediated activation of receptor signaling"
"6300","WP3869","Cannabinoid receptor signaling"
"6300","WP422","MAPK cascade"
"6300","WP4877","Host-pathogen interaction of human coronaviruses - MAPK signaling"
"6300","WP3611","Photodynamic therapy-induced AP-1 survival signaling"
"6300","WP3865","Novel intracellular components of RIG-I-like receptor pathway"
"6300","WP3303","RAC1/PAK1/p38/MMP2 pathway"
"6300","WP2371","Parkinson's disease pathway"
"6300","WP4341","Non-genomic actions of 1,25 dihydroxyvitamin D3"
"6300","WP4538","Regulatory circuits of the STAT3 signaling pathway"
"6300","WP185","Integrin-mediated cell adhesion"
"6300","WP75","Toll-like receptor signaling pathway"
"6300","WP4321","Thermogenesis"
"6300","WP3931","Embryonic stem cell pluripotency pathways"
"6300","WP4787","Osteoblast differentiation and related diseases"
"6300","WP3915","Angiopoietin-like protein 8 regulatory pathway"
"6300","WP4666","Hepatitis B infection"
"6300","WP481","Insulin signaling"
"6300","WP4239","Epithelial to mesenchymal transition in colorectal cancer"
"6300","WP382","MAPK signaling pathway"
"6300","WP3888","VEGFA-VEGFR2 signaling"
"5603","WP4864","Host-pathogen interaction of human coronaviruses - apoptosis"
"5603","WP3612","Photodynamic therapy-induced NFE2L2 (NRF2) survival signaling"
"5603","WP5272","LDL- influence on CD14 and TLR4"
